Date,Mileage,Service,Parts Replaced,Parts Serviced
3/9/2010,90000,Routine Service,"Air Filter, Flush ATF & Coolant, PCV Valve, Rotate Tires, Spark Plugs, Water Pump, Timing Belt, Accessory Belt",
12/15/2009,86596,Routine Service,Oil Change,
8/19/2009,81933,Routine Service,Oil Change,
7/28/2009,81002,Antenna,Antenna,
4/21/2009,77679,Routine Service,Oil Change,
1/14/2009,74036,Routine Service,Oil Change,
9/30/2008,70425,Routine Service,Oil Change,
7/17/2008,67535,Routine Service,Oil Change,
4/14/2008,63397,Brakes,"Rear Brake Pads, Resurface Rear Rotors",
4/9/2008,63172,Routine Service,Oil Change,
2/5/2008,60193,Routine Service,"Air Filter, Flush ATF & Coolant, PCV Valve",
1/15/2008,59084,Routine Service,Oil Change,
10/4/2007,54639,Routine Service,Oil Change,
6/14/2007,50471,Routine Service,Oil Change,
1/4/2007,47027,Routine Service,Oil Change,
4/10/2006,45847,Routine Service,Oil Change,
9/1/2005,45021,Routine Service,"Oil Change, Tire Rotation, Air Filter",
9/2/2005,0,Special,Hood Protector SIE,
3/10/2005,43268,Routine Service,Oil Change,
11/22/2004,41380,Routine Service,Oil Change,
7/14/2004,32376,Routine Service,"Front Brake Pads, Resurfaced Front Rotors, New Key",
